id,address,address2,tel,fax,category,prefecture,district,pic_appearance,pic_map,type,lat,lng
19,บิ๊กซีวงศ์สว่าง,ชั้น1เยื้องธนาคารกสิกรไทยตึกบิ๊กซีซุปเปอร์เซ็นเตอร์(ร้านเวสเทิร์นยูเนี่ยนเดิม),,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,กรุงเทพมหานคร,,pic_wongsawang.jpg,map_wongsawang.jpg,Servicepoint,13.826595,100.528367
20,บิ๊กซี สุขาภิบาล 3,บิ๊กซีสุขาภิบาล3,,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,กรุงเทพมหานคร,,,map_sanitation3.jpg,Servicepoint,13.807551,100.726395
21,เซ็นเตอร์วัน(อนุเสาวรีย์ฯ),ชั้น1ลานโปรโมชั่นข้างบันไดหลังเสาLED,,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,กรุงเทพมหานคร,,,map_centre.jpg,Servicepoint,13.76399,100.5393
22,บิ๊กซีเอ๊กซ์ตร้าอ่อนนุช,ชั้น1หน้าประตูเข้า-ออกบิ๊กซี,,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,กรุงเทพมหานคร,,,map_bigcextra.jpg,Servicepoint,13.70919107,100.6015384
23,บิ๊กซีเอ๊กซ์ตร้าเพชรเกษม,ชั้น1ตรงประตูทางเข้าด้านหน้าใกล้กับธนาคารกสิกรไทย,,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,กรุงเทพมหานคร,,,map_bigcextraphetkasem.jpg,Servicepoint,13.7091598,100.3667593
24,บิ๊กซีนครปฐม,ชั้น2ใกล้จุดบริการลูกค้าตรงข้ามร้านขายยาเซฟดรัก(Save drug),,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,นครปฐม,,,map_nakhonpathom.jpg,Servicepoint,13.8126,100.072
25,บิ๊กซีอ้อมใหญ่,ชั้น1ตรงทางเดินหน้าร้านไอศครีมแดรี่ควีน(Dairy Queen)ใกล้สเวนเซ่นส์(Swensens)และเอสแอนด์พี(S&P),,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,นครปฐม,,,map_bigdetour.jpg,Servicepoint,13.7065175,100.2812129
26,บิ๊กซีเอ๊กซ์ตร้าบางใหญ่(คาร์ฟูร์เดิม),ชั้น2หน้าร้านดีแทค(DTAC),,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,นนทบุรี,,,map_bigcextrayai.jpg,Servicepoint,13.88153221,100.4082155
27,บิ๊กซีเอ๊กซ์ตร้าแจ้งวัฒนะ(คาร์ฟูร์เดิม),ชั้น1ประตูทางเข้าศูนย์อาหารตรงข้ามแมคโดนัลด์(MC Donald),,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,นนทบุรี,,,map_bigcextrachaeng.jpg,Servicepoint,13.90570009,100.5148816
28,โรบินสัน ศรีสมาน,ชั้น 2 หน้าธนาคารกรุงเทพ (ข้าง 3 BB),,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,นนทบุรี,,,map_robinsonsrisamarn.jpg,Servicepoint,13.93942,100.552885
29,แกรนด์พลาซ่างามวงศ์วาน,(ห้างแกรนด์พลาซ่าอยู่ตรงข้ามกับThe Mallงามวงศ์วาน)ชั้น2โซนกลางลานโปรโมชั่น,,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,นนทบุรี,,,map_grandplazamall.jpg,Servicepoint,13.856865,100.541747
30,บิ๊กซีติวานนท์,ชั้น1หน้าร้านเอ็มเค(MK),,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,นนทบุรี,,,map_bigctiwanon.jpg,Servicepoint,13.845001,100.510551
31,บิ๊กซีฟิวเจอร์ปาร์ครังสิต,ชั้น1หน้าร้านหนังสือซีเอ็ดบุ๊ค(SE-ED Book)ใกล้จุดบริการลูกค้า,,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,ปทุมธานี,,,map_futureparkrangsit.jpg,Servicepoint,13.989313,100.617894
32,บิ๊กซีเอ๊กซ์ตร้าลำลูกกา(คลอง4),ชั้น1หน้าประตูทางเข้า-ออก(ฝั่งเอ็มเค),,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,ปทุมธานี,,,map_bigcextraka.jpg,Servicepoint,13.93385892,100.6821334
33,บิ๊กซีบางพลี,ชั้น1ตรงข้ามร้านทองออโรร่า(AURORA),,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,สมุทรปราการ,,,map_bigbangphli.jpg,Servicepoint,13.603787,100.708007
34,เมกาบางนา(Mega Bangna),ชั้น1ข้างเมืองไทยประกันชีวิต(เมกามันนี่โซน),,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,สมุทรปราการ,,pic_megabangna.jpg,map_megabangna.jpg,Servicepoint,13.646592,100.680267
35,บิ๊กซีสุขสวัสดิ์,ชั้น2ตรงข้ามร้านหอแว่น,,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,สมุทรปราการ,,,map_csuksawat.jpg,Servicepoint,13.653805,100.522381
36,บิ๊กซีสมุทรปราการ,ชั้น1ประตูทางเข้าหน้าธนาคารไทยพาณิชย์,,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,สมุทรปราการ,,,map_bigbangoverseas.jpg,Servicepoint,13.584328,100.607022
37,อิมพีเรียลเวิลด์สำโรง,ชั้นใต้ดินข้างร้านพิซซ่า(The Pizza,,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,สมุทรปราการ,,,map_imperialworldsamrong.jpg,Servicepoint,13.649917,100.596763
38,บิ๊กซีกาญจนบุรี,ติดร้านไปรษณีย์,,,สาขา และจุดให้บริการต่างจังหวัด,กาญจนบุรี,,pic_ckanchanaburi.jpg,map_ckanchanaburi.jpg,Servicepoint,14.048168,99.507695
39,บิ๊กซีกำแพงเพชร,ชั้น2ข้างบันไดเลื่อน(ฝั่งธนาคารออมสิน),,,สาขา และจุดให้บริการต่างจังหวัด,กำแพงเพชร,,,map_ckamphaengphet.jpg,Servicepoint,16.4741,99.5411
40,บิ๊กซีขอนแก่น,ชั้น2เยื้องจุดบริการลูกค้าบิ๊กซี,,,สาขา และจุดให้บริการต่างจังหวัด,ขอนแก่น,,,map_bigcthailand.jpg,Servicepoint,16.42476539,102.8190064
41,พรอมิสสาขาขอนแก่น,เลขที่552/5ถนนหน้าเมืองต.ในเมืองอ.เมืองจ.ขอนแก่น40000,043-220-666,043-226-232,สาขา และจุดให้บริการต่างจังหวัด,ขอนแก่น,,pic_promisekhonkaen.jpg,map_promisekhonkaen.jpg,Branch,16.423252,102.833193
42,บิ๊กซีจันทบุรี,ชั้น2ข้างบันไดเลื่อนหน้าโรงภาพยนตร์เมเจอร์(Major Cineplex),,,สาขา และจุดให้บริการต่างจังหวัด,จันทบุรี,,,map_chanthaburi.jpg,Servicepoint,12.59817,102.09929
43,บิ๊กซี-เมเจอร์ฉะเชิงเทรา,หน้าจุดบริการลูกค้าบิ๊กซี,,,สาขา และจุดให้บริการต่างจังหวัด,ฉะเชิงเทรา,,,map_chachoengsao.jpg,Servicepoint,13.6909,101.056
44,พรอมิสสาขาพัทยา,ข้างมูลนิธิคุณพ่อเรย์ตรงข้ามธ.ออมสิน,,,สาขา และจุดให้บริการต่างจังหวัด,ชลบุรี,,pic_promisepattaya.jpg,map_promisepattaya.jpg,Servicepoint,12.938363,100.902363
45,แหลมทองบางแสน,ชั้น1ข้างร้านเอสแอนด์พี(ตรงข้ามท็อปมาร์เก็ต),,,สาขา และจุดให้บริการต่างจังหวัด,ชลบุรี,,pic_somepeninsula.jpg,map_somepeninsula.jpg,Servicepoint,13.287114,100.926722
46,บิ๊กซีเอ๊กซ์ตร้าชลบุรี,ชั้น2หน้าร้านเอทูแซด(AIIZ),,,สาขา และจุดให้บริการต่างจังหวัด,ชลบุรี,,,map_bigcextrachonburi.jpg,Servicepoint,13.30825536,100.9568117
47,ฮาร์เบอร์มอลล์(แหลมฉบัง),ชั้นGตรงข้ามร้านวัตสัน(Watsan),,,สาขา และจุดให้บริการต่างจังหวัด,ชลบุรี,,,map_harbourmall.jpg,Servicepoint,13.079519,100.92181
48,พรอมิสสาขาชัยภูมิ,ตึกชัยปรีดาอพาร์ทเม้นท์เลขที่199/9หมู่7ต.ในเมืองอ.เมืองจ.ชัยภูมิ36000,044-818-220,044-818-221,สาขา และจุดให้บริการต่างจังหวัด,ชัยภูมิ,,pic_promisechaiyaphum.jpg,map_promisechaiyaphum.jpg,Branch,15.803075,102.037496
49,พรอมิสสาขาเชียงราย,ถนนธนาลัย(เยื้องธนาคารธกส),,,สาขา และจุดให้บริการต่างจังหวัด,เชียงราย,,pic_promisechiangrai.jpg,map_promisechiangrai.jpg,Servicepoint,19.908018,99.825972
50,บิ๊กซีเชียงใหม่(ดอนจั่น),ชั้น1หน้าร้านเคเอฟซี(KFC),,,สาขา และจุดให้บริการต่างจังหวัด,เชียงใหม่,,,map_bigcchiang.jpg,Servicepoint,18.769,99.033
51,บิ๊กซีหางดง,ชั้น 1 ตรงข้ามธนาคารกรุงเทพ,,,สาขา และจุดให้บริการต่างจังหวัด,เชียงใหม่,,,map_bigcdong.jpg,Servicepoint,18.74496332,98.96208376
52,บิ๊กซีตรัง,ชั้น2ข้างบันไดเลื่อน(ฝั่งศูนย์อาหาร),,,สาขา และจุดให้บริการต่างจังหวัด,ตรัง,,,map_bigtrang.jpg,Servicepoint,7.545004,99.6156
53,พรอมิสสาขานครราชสีมา,เลขที่230/30ถนนมิตรภาพต.ในเมืองอ.เมืองจ.นครราชสีมา30000,"044-243-411, 044-245-200",044-243-412,สาขา และจุดให้บริการต่างจังหวัด,นครราชสีมา,,pic_promiseratchasima.jpg,map_promiseratchasima.jpg,Branch,14.986687,102.095657
54,ห้างสหไทยพลาซ่า,ชั้น2เยื้องทีโอที(TOT),,,สาขา และจุดให้บริการต่างจังหวัด,นครศรีธรรมราช,,,map_unitedthailandplazamall.jpg,Servicepoint,8.160437,99.675694
55,บิ๊กซีนครศรีธรรมราช,ข้างทางเข้าลานจอดรถบิ๊กซีซุปเปอร์มาร์เก็ต,,,สาขา และจุดให้บริการต่างจังหวัด,นครศรีธรรมราช,,pic_nakhonsithammarat.jpg,map_nakhonsithammarat.jpg,Servicepoint,8.441263,99.963134
56,บิ๊กซีนครสวรรค์(วีสแควร์พลาซ่า),ชั้น2ตรงข้ามห้างทองโต๊ะกัง,,,สาขา และจุดให้บริการต่างจังหวัด,นครสวรรค์,,,map_bigcnakhonsawa.jpg,Servicepoint,15.69505684,100.1213855
57,บิ๊กซีบุรีรัมย์,หน้าร้านมิสเตอร์โดนัท(Mister Donut),,,สาขา และจุดให้บริการต่างจังหวัด,บุรีรัมย์,,,map_bigcram.jpg,Servicepoint,14.96988141,103.0818377
58,เทสโก้โลตัสนวนคร,ชั้น1ตรงข้ามสปอร์ตโดม,,,สาขา และจุดให้บริการต่างจังหวัด,ปทุมธานี,,,map_tesconava.jpg,Servicepoint,14.12042,100.617179
59,พรอมิสสาขาหัวหิน,ข้างธนาคารธอส.ระหว่างซอยหัวหิน80และ82,,,สาขา และจุดให้บริการต่างจังหวัด,ประจวบคีรีขันธ์,,pic_promisehuahin.jpg,map_promisehuahin.jpg,Servicepoint,12.565308,99.959093
60,พรอมิสสาขาปราจีนบุรี,ตรงข้ามนิคมอุตสาหกรรม304 (ข้างตลาด304),,,สาขา และจุดให้บริการต่างจังหวัด,ปราจีนบุรี,,,map_promiseprachinburi.jpg,Servicepoint,13.917274,101.573278
61,บิ๊กซีเพชรบุรี,ชั้น1หน้าประตูเข้า-ออกห้างระหว่างเจมาร์ท(J-Mart)และเอสแอนด์พี(S&P),,,สาขา และจุดให้บริการต่างจังหวัด,เพชรบุรี,,,map_ckanchanaburi.jpg,Servicepoint,13.079,99.9482
62,บิ๊กซีเพชรบูรณ์,เยื้องร้านดีแทค(DTAC),,,สาขา และจุดให้บริการต่างจังหวัด,เพชรบูรณ์,,pic_cphetchabun.jpg,map_cphetchabun.jpg,Servicepoint,16.39276,101.13233
63,บิ๊กซีพิษณุโลก,ชั้น2ตรงข้ามธนาคารกรุงเทพ,,,สาขา และจุดให้บริการต่างจังหวัด,พิษณุโลก,,,map_bigphitsanulok.jpg,Servicepoint,16.81580768,100.2896565
64,บิ๊กซีภูเก็ต,ชั้น1หน้าเคเอฟซี(KFC)ตรงประตูทางเข้าห้างฯ,,,สาขา และจุดให้บริการต่างจังหวัด,ภูเก็ต,,pic_bigcphuket.jpg,map_bigcphuket.jpg,Servicepoint,7.8959,98.3674
65,ห้างเสริมไทยคอมเพล็กซ์(มหาสารคาม),ชั้น1หน้าโลตัสซุปเปอร์มาร์เก็ต,,,สาขา และจุดให้บริการต่างจังหวัด,มหาสารคาม,,,map_mahasarakham.jpg,Servicepoint,16.201523,103.27677
66,รอมิสสาขาร้อยเอ็ด,เลขที่56/6ถ.เทวาภิบาลต.ในเมืองอ.ร้อยเอ็ดจ.ร้อยเอ็ด45000,043-515-727,043-515-211,สาขา และจุดให้บริการต่างจังหวัด,ร้อยเอ็ด,,pic_promisemajorroiet.jpg,map_promisemajorroiet.jpg,Branch,16.057909,103.631157
67,ซีเคพลาซ่า(ระยอง),ชั้น1หน้าประตูเข้า-ออกฝั่งบิ๊กซี,,,สาขา และจุดให้บริการต่างจังหวัด,ระยอง,,,map_ckplaza.jpg,Servicepoint,12.984046,101.211958
68,แหลมทองระยอง,ชั้น2ติดร้านกล้องถ่ายรูปข้างบันไดเลื่อนลง,,,สาขา และจุดให้บริการต่างจังหวัด,ระยอง,,pic_peninsulabangkok.jpg,map_peninsulabangkok.jpg,Servicepoint,12.68257642,101.2425408
69,บิ๊กซีราชบุรี,ชั้น1หน้ามิสเตอร์โดนัท(Mister Donut),,,สาขา และจุดให้บริการต่างจังหวัด,ราชบุรี,,,map_bigcratchaburi.jpg,Servicepoint,13.5506,99.8231
70,บิ๊กซีลพบุรี,ชั้น1เยื้องบันไดเลื่อนลงจากซุปเปอร์มาร์เก็ต,,,สาขา และจุดให้บริการต่างจังหวัด,ลพบุรี,,,map_bigclopburi.jpg,Servicepoint,14.7946,100.672
71,บิ๊กซีเลย,หน้าร้านเคเอฟซี(KFC),,,สาขา และจุดให้บริการต่างจังหวัด,เลย,,,map_bigcs.jpg,Servicepoint,17.462905,101.72789
72,บิ๊กซีลำปาง,ชั้น2ตรงข้ามร้านบิ๊กคาเมร่า,,,สาขา และจุดให้บริการต่างจังหวัด,ลำปาง,,,map_bigclampang.jpg,Servicepoint,18.2755,99.4812
73,บิ๊กซีลำพูน,ชั้น1หน้าร้านเอ็มเค(MK),,,สาขา และจุดให้บริการต่างจังหวัด,ลำพูน,,,map_clamphun.jpg,Servicepoint,18.591,99.0412
74,พรอมิสสาขาศรีสะเกษ,เลขที่1199/2ถ.วิจิตรนครต.เมืองเหนืออ.เมืองจ.ศรีสะเกษ33000,045-643-656,045-643-649,สาขา และจุดให้บริการต่างจังหวัด,ศรีสะเกษ,,pic_promisesaket.jpg,map_promisesaket.jpg,Branch,15.118865,104.333183
75,บิ๊กซีสกลนคร,ตรงข้ามจุดชำระค่าสินค้าบิ๊กซี(ฝั่งธนาคารกรุงเทพ),,,สาขา และจุดให้บริการต่างจังหวัด,สกลนคร,,,map_sakonc.jpg,Servicepoint,17.15965366,104.149425
76,ถนนเพชร์เกษมเยื้องห้างสยามนครินทร์,489/17-489/18 ถ.เพชรเกษมต.หาดใหญ่อ.หาดใหญ่จ.สงขลา90110,,,สาขา และจุดให้บริการต่างจังหวัด,สงขลา,,pic_presidentbush.jpg,map_presidentbush.jpg,Servicepoint,7.003314,100.491775
77,บิ๊กซีหาดใหญ่,ชั้น1หน้ามิสเตอร์โดนัท(Mister Donut),,,สาขา และจุดให้บริการต่างจังหวัด,สงขลา,,,map_bighat.jpg,Servicepoint,7.03824,100.468
78,บิ๊กซีสมุทรสาคร(มหาชัย),ชั้น1ข้างร้านยาโยอิ(Yayoi),,,สาขา และจุดให้บริการต่างจังหวัด,สมุทรสาคร,,,map_csakhon.jpg,Servicepoint,13.5652,100.2726
79,บิ๊กซีสระแก้ว,ข้างร้านดีแทค,,,สาขา และจุดให้บริการต่างจังหวัด,สระแก้ว,,pic_csakaeo.jpg,map_csakaeo.jpg,Servicepoint,13.81166,102.077149
80,ห้างทวีกิจสระบุรี,ชั้น 1 ใกล้ทางเข้าบิ๊กซี (Big C),,,สาขา และจุดให้บริการต่างจังหวัด,สระบุรี,,,map_thaveekitsaraburi.jpg,Servicepoint,14.523245,100.917936
81,พรอมิสสาขาสุพรรณบุรี,ถ.มาลัยแมนข้างแสนรักษ์รักษาสัตว์(ทางไปหอนาฬิกาบรรหาร-แจ่มใส),,,สาขา และจุดให้บริการต่างจังหวัด,สุพรรณบุรี,,pic_promisesuphanburi.jpg,map_promisesuphanburi.jpg,Servicepoint,14.48044,100.127223
82,บิ๊กซีสุราษฎร์ธานี,ชั้น1หน้าศูนย์อาหาร,,,สาขา และจุดให้บริการต่างจังหวัด,สุราษฎร์ธานี,,pic_bigsurat.jpg,map_bigsurat.jpg,Servicepoint,9.14819,99.3699
83,พรอมิสสาขาสุราษฎร์ธานี,ถนนชนเกษม(เยื้องธนาคารยูโอบี),,,สาขา และจุดให้บริการต่างจังหวัด,สุราษฎร์ธานี,,pic_promisesurat.jpg,map_promisesurat.jpg,Servicepoint,9.139989,99.328332
84,บิ๊กซีสุรินทร์,ชั้น1ตรงข้ามร้านเคเอฟซี(KFC),,,สาขา และจุดให้บริการต่างจังหวัด,สุรินทร์,,,map_bigcsurin.jpg,Servicepoint,14.8723,103.51
85,อยุธยาปาร์ค,ชั้น1ข้างธ.ก.ส. (BAAC),,,สาขา และจุดให้บริการต่างจังหวัด,อยุธยา,,pic_ayutthayapark.jpg,map_ayutthayapark.jpg,Servicepoint,14.335437,100.61092
86,บิ๊กซีอุดรธานี,ชั้น1ข้างร้านทรีบอรดแบรนด์(3BB),,,สาขา และจุดให้บริการต่างจังหวัด,อุดรธานี,,,map_cthani.jpg,Servicepoint,17.3866,102.824
87,พรอมิสสาขาอุดรธานี,ถ.ประจักษ์เยื้องโรงเรียนอุดรวิทยา(รร.จีน),,,สาขา และจุดให้บริการต่างจังหวัด,อุดรธานี,,pic_udonthani.jpg,map_udonthani.jpg,Servicepoint,17.406249,102.795311
88,โลตัสยูดีทาวน์,ติดร้านดังกิ้นโดนัท(Dunkin Donut),,,สาขา และจุดให้บริการต่างจังหวัด,อุดรธานี,,pic_lotusudtown.jpg,map_lotusudtown.jpg,Servicepoint,17.401793,102.804765
89,อุบลราชธานี2,ถ.ธรรมวิถีข้างธ.กสิกรไทย(ตลาดนิกรธานี),,,สาขา และจุดให้บริการต่างจังหวัด,อุบลราชธานี,,pic_ubonratchathani.jpg,map_ubonratchathani.jpg,Servicepoint,15.269709,104.83932
90,พรอมิสสาขาอุบลราชธานี,อาคารสินราชบุตรเลขที่47ชั้น1 (ห้อง102-103)ถนนราชบุตรต.ในเมืองอ.เมืองจ.อุบลราชธานี34000,"045-250-099, 045-250-100",045-243-717,สาขา และจุดให้บริการต่างจังหวัด,อุบลราชธานี,,pic_promiseubonratchathani.jpg,map_promiseubonratchathani.jpg,Branch,15.226666,104.858558
